,race,gender,is_recid,score
0,Other,Male,0,0
1,African-American,Male,1,0
2,African-American,Male,1,0
5,Other,Male,0,0
6,Caucasian,Male,1,1
7,Other,Male,0,0
8,Caucasian,Female,0,0
10,Caucasian,Male,0,0
11,African-American,Male,1,1
12,Caucasian,Female,0,0
13,African-American,Male,0,0
14,Caucasian,Female,1,0
15,African-American,Male,1,0
16,Hispanic,Male,0,0
17,African-American,Male,0,1
18,Caucasian,Male,1,1
19,Caucasian,Male,1,0
20,African-American,Male,1,1
21,African-American,Male,1,1
22,Caucasian,Male,1,0
23,Caucasian,Female,0,0
24,Hispanic,Male,1,0
25,Caucasian,Male,0,0
26,Other,Male,0,0
27,African-American,Male,1,0
29,African-American,Male,1,1
30,African-American,Male,1,1
31,Caucasian,Male,1,1
32,African-American,Male,1,1
33,Caucasian,Male,0,0
34,Other,Male,1,0
36,Caucasian,Female,1,1
37,Caucasian,Male,1,0
38,African-American,Male,1,1
39,Caucasian,Male,0,0
40,African-American,Female,0,1
41,African-American,Male,0,0
42,Caucasian,Male,1,0
43,African-American,Female,0,0
44,African-American,Male,1,1
45,Caucasian,Male,1,1
46,African-American,Male,1,1
47,Caucasian,Male,0,0
49,African-American,Male,0,0
50,Caucasian,Male,1,0
51,Other,Female,0,0
54,African-American,Male,0,1
55,African-American,Male,1,0
56,Hispanic,Male,0,1
57,African-American,Male,0,0
58,Caucasian,Male,0,1
59,African-American,Male,0,0
61,African-American,Male,1,1
62,Caucasian,Male,1,0
63,African-American,Male,1,0
65,African-American,Male,1,1
66,Hispanic,Male,0,0
67,African-American,Male,1,1
68,Other,Male,0,0
69,African-American,Female,0,0
70,Hispanic,Male,1,0
71,Hispanic,Male,0,0
72,African-American,Male,0,0
73,African-American,Male,1,1
74,Caucasian,Male,1,1
75,African-American,Male,0,0
76,African-American,Male,1,0
77,Caucasian,Male,0,1
78,African-American,Female,1,0
80,African-American,Male,0,0
81,African-American,Male,0,0
82,African-American,Male,1,1
83,Other,Male,1,0
84,African-American,Male,1,1
85,Other,Male,1,1
86,African-American,Male,1,1
88,African-American,Female,0,0
89,African-American,Male,1,1
90,Caucasian,Male,1,1
91,Other,Male,1,1
92,Caucasian,Male,1,1
94,Caucasian,Female,0,1
95,Caucasian,Male,1,0
97,Caucasian,Female,0,0
98,Hispanic,Female,0,0
99,African-American,Male,1,0
101,African-American,Male,0,0
102,Caucasian,Female,1,0
103,Caucasian,Male,1,1
104,Caucasian,Male,0,0
105,Caucasian,Male,0,1
106,Caucasian,Female,0,0
108,Caucasian,Male,0,0
109,African-American,Male,1,1
110,Caucasian,Male,1,0
111,Caucasian,Male,0,1
112,African-American,Male,1,1
113,African-American,Male,0,0
114,Caucasian,Male,1,0
115,African-American,Male,1,1
116,African-American,Male,1,0
117,African-American,Male,1,1
118,African-American,Male,0,1
119,Other,Female,0,0
120,Caucasian,Male,1,1
121,African-American,Male,1,1
123,Caucasian,Male,0,1
124,African-American,Male,1,1
127,Caucasian,Male,0,0
128,Caucasian,Female,0,0
129,Caucasian,Male,0,0
131,Other,Female,0,0
132,Caucasian,Male,1,0
133,African-American,Female,0,0
134,Caucasian,Female,1,0
135,Caucasian,Male,1,0
137,African-American,Male,1,1
138,Caucasian,Male,1,0
139,African-American,Male,0,0
140,Caucasian,Male,1,0
142,African-American,Female,0,1
143,Caucasian,Female,0,0
144,African-American,Male,1,1
145,African-American,Male,1,1
146,African-American,Male,1,1
147,African-American,Female,1,0
148,African-American,Female,1,1
149,African-American,Male,1,1
150,African-American,Female,0,1
151,Caucasian,Female,0,1
152,African-American,Female,1,0
153,Other,Male,1,1
154,Hispanic,Male,0,0
155,African-American,Female,1,1
156,Hispanic,Male,0,0
158,African-American,Female,1,0
160,Caucasian,Male,0,0
161,Caucasian,Female,1,1
162,African-American,Male,0,1
163,Caucasian,Male,0,0
164,African-American,Male,0,0
165,Caucasian,Male,1,0
167,Caucasian,Male,0,1
168,African-American,Male,1,0
169,Hispanic,Male,0,0
170,African-American,Female,0,1
171,Hispanic,Male,0,0
172,African-American,Male,0,0
175,Hispanic,Male,1,1
176,African-American,Male,1,1
177,Hispanic,Male,0,0
178,Hispanic,Male,0,0
179,Caucasian,Male,1,0
180,Caucasian,Male,0,0
181,Other,Male,0,0
183,African-American,Male,1,1
184,African-American,Male,1,1
185,African-American,Male,1,0
186,Hispanic,Male,0,0
188,African-American,Male,0,0
189,Caucasian,Male,1,0
192,African-American,Male,1,1
193,Caucasian,Male,1,0
194,African-American,Male,1,1
195,Caucasian,Male,0,0
196,African-American,Male,1,0
197,African-American,Male,0,0
198,African-American,Female,0,0
199,Other,Male,1,0
200,Caucasian,Male,0,0
201,Caucasian,Female,0,0
202,Caucasian,Male,0,0
203,African-American,Female,1,1
204,Other,Male,1,1
205,African-American,Male,1,1
206,African-American,Male,0,0
207,African-American,Female,0,1
209,Caucasian,Female,1,1
210,African-American,Male,0,0
212,African-American,Female,0,1
213,Caucasian,Male,1,0
214,African-American,Male,0,1
215,African-American,Male,0,1
219,Caucasian,Female,1,0
220,Caucasian,Male,0,0
221,Other,Male,1,0
222,African-American,Male,0,0
223,Caucasian,Male,1,0
224,African-American,Female,0,1
225,African-American,Female,0,1
226,African-American,Male,1,1
227,African-American,Male,0,0
228,Other,Male,1,0
229,African-American,Male,0,1
230,African-American,Male,0,1
232,African-American,Male,0,0
233,Caucasian,Male,0,0
234,Caucasian,Male,1,0
235,African-American,Male,0,0
236,Caucasian,Male,0,0
237,African-American,Male,1,1
238,Caucasian,Male,0,1
239,African-American,Male,0,0
240,African-American,Male,0,0
241,Hispanic,Male,0,0
242,Caucasian,Male,1,1
243,Caucasian,Male,1,0
244,African-American,Male,0,1
246,Caucasian,Male,0,0
247,African-American,Male,1,1
248,Caucasian,Male,1,1
249,African-American,Male,0,0
250,Caucasian,Male,1,1
251,Other,Female,0,0
252,Other,Female,0,0
258,Hispanic,Female,0,0
259,Hispanic,Male,1,1
260,Caucasian,Female,1,1
261,Hispanic,Male,0,1
262,African-American,Male,0,0
263,African-American,Male,1,1
264,African-American,Male,1,1
265,Other,Male,0,0
266,African-American,Male,0,0
268,African-American,Female,0,0
269,African-American,Male,0,1
270,Hispanic,Male,0,1
271,African-American,Female,0,0
272,African-American,Female,1,0
273,African-American,Female,0,0
275,Caucasian,Male,0,1
276,Caucasian,Male,1,1
277,African-American,Male,1,1
278,African-American,Male,1,1
279,Caucasian,Female,0,0
282,African-American,Female,0,0
283,Other,Female,0,0
285,African-American,Male,1,1
286,African-American,Male,0,0
287,Caucasian,Male,0,0
289,Caucasian,Male,0,0
291,Caucasian,Male,0,0
292,African-American,Male,1,1
293,African-American,Male,1,1
294,Hispanic,Male,1,0
295,Caucasian,Male,0,0
297,African-American,Male,0,0
298,Caucasian,Male,1,1
299,African-American,Male,1,0
301,African-American,Male,1,0
302,Other,Male,0,0
304,Caucasian,Male,0,0
305,African-American,Female,0,1
307,African-American,Male,1,1
308,Caucasian,Male,0,0
310,Caucasian,Male,0,0
311,Other,Male,1,0
312,African-American,Female,0,0
313,Hispanic,Male,0,0
314,African-American,Male,0,0
315,Caucasian,Male,1,0
316,Caucasian,Male,1,0
317,Caucasian,Female,0,0
318,Other,Male,1,1
319,African-American,Male,0,0
320,African-American,Male,1,1
321,Caucasian,Female,0,0
322,Caucasian,Male,0,0
323,African-American,Male,0,1
324,African-American,Male,1,1
326,Caucasian,Male,0,1
