,sex,age,age_cat,decile_score,score_text,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,is_recid,score
0,Male,69,Greater than 45,1,Low,Other,0,0,0,0,0,0
1,Male,34,25 - 45,3,Low,African-American,0,0,0,0,1,0
2,Male,24,Less than 25,4,Low,African-American,4,0,0,1,1,0
5,Male,44,25 - 45,1,Low,Other,0,0,0,0,0,0
6,Male,41,25 - 45,6,Medium,Caucasian,14,0,0,0,1,1
7,Male,43,25 - 45,4,Low,Other,3,0,0,0,0,0
8,Female,39,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
10,Male,27,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
11,Male,23,Less than 25,6,Medium,African-American,3,0,0,0,1,1
12,Female,37,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
13,Male,41,25 - 45,4,Low,African-American,0,0,0,0,0,0
14,Female,47,Greater than 45,1,Low,Caucasian,1,0,0,0,1,0
15,Male,31,25 - 45,3,Low,African-American,7,0,0,0,1,0
16,Male,37,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
17,Male,25,25 - 45,10,High,African-American,3,0,0,0,0,1
18,Male,31,25 - 45,5,Medium,Caucasian,6,0,0,0,1,1
19,Male,31,25 - 45,3,Low,Caucasian,5,0,0,0,1,0
20,Male,64,Greater than 45,6,Medium,African-American,13,0,0,0,1,1
21,Male,21,Less than 25,9,High,African-American,1,0,0,0,1,1
22,Male,27,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
23,Female,21,Less than 25,4,Low,Caucasian,0,0,0,0,0,0
24,Male,24,Less than 25,4,Low,Hispanic,1,0,0,0,1,0
25,Male,43,25 - 45,1,Low,Caucasian,1,0,0,0,0,0
26,Male,32,25 - 45,3,Low,Other,0,0,0,0,0,0
27,Male,27,25 - 45,3,Low,African-American,8,0,0,0,1,0
29,Male,26,25 - 45,7,Medium,African-American,5,0,0,1,1,1
30,Male,33,25 - 45,10,High,African-American,0,0,0,0,1,1
31,Male,30,25 - 45,9,High,Caucasian,9,0,0,0,1,1
32,Male,32,25 - 45,8,High,African-American,4,0,0,0,1,1
33,Male,55,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
34,Male,49,Greater than 45,3,Low,Other,7,0,0,0,1,0
